"location_fips_code","location_name","location_type","population","state","county","metro"
"0681344","Upland, CA","City",78847,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA"
"51095","James City County, VA","County",78818,"Virginia","James City County","Virginia Beach-Norfolk-Newport News, VA-NC"
"1706613","Bloomington, IL","City",78788,"Illinois","McLean County","Bloomington, IL"
"0657792","Pleasanton, CA","City",78691,"California","Alameda County","San Francisco-Oakland-Berkeley, CA"
"1236950","Kissimmee, FL","City",78478,"Florida","Osceola County","Orlando-Kissimmee-Sanford, FL"
"2430325","Frederick, MD","City",78390,"Maryland","Frederick County","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"0613214","Chino Hills, CA","City",78223,"California","San Bernardino County","Riverside-San Bernardino-Ontario, CA"
"4970850","South Jordan, UT","City",78118,"Utah","Salt Lake County","Salt Lake City, UT"
"1768003","Schaumburg, IL","City",77571,"Illinois","Cook County","Chicago-Naperville-Elgin, IL-IN-WI"
"0600562","Alameda, CA","City",77565,"California","Alameda County","San Francisco-Oakland-Berkeley, CA"
"1249675","North Port, FL","City",76975,"Florida","Sarasota County","North Port-Sarasota-Bradenton, FL"
"1702154","Arlington Heights, IL","City",76794,"Illinois","Cook County","Chicago-Naperville-Elgin, IL-IN-WI"
"2688940","Wyoming, MI","City",76732,"Michigan","Kent County","Grand Rapids-Kentwood, MI"
